date,opponent,venue,round,player,position,minutes,goals,assists,shots,shots_on_target,offsides,crosses,tackles_won,interceptions,fouls_committed,fouls_drawn
2018-11-28,PSV,Away,Group stage,Philippe Coutinho,FW,69,0,0,2,0,0,3,0,0,0,2
2018-11-28,PSV,Away,Group stage,Malcom,FW,21,0,0,2,0,0,0,0,0,0,0
2018-11-28,PSV,Away,Group stage,Lionel Messi,FW,90,1,1,6,4,0,0,2,0,0,1
2018-11-28,PSV,Away,Group stage,Ousmane Dembélé,FW,79,0,1,4,1,0,1,0,1,0,1
2018-11-28,PSV,Away,Group stage,Denis Suárez,MF,11,0,0,0,0,0,0,0,0,0,0
2018-11-28,PSV,Away,Group stage,Arturo Vidal,CM,90,0,0,4,2,0,0,0,3,2,5
2018-11-28,PSV,Away,Group stage,Sergio Busquets,CM,90,0,0,0,0,0,0,3,0,3,1
2018-11-28,PSV,Away,Group stage,Ivan Rakitić,CM,90,0,0,1,0,0,0,0,5,0,1
2018-11-28,PSV,Away,Group stage,Jordi Alba,LB,90,0,0,1,0,0,3,2,1,0,1
2018-11-28,PSV,Away,Group stage,Clément Lenglet,CB,90,0,0,0,0,0,0,4,0,3,1
2018-11-28,PSV,Away,Group stage,Gerard Piqué,CB,90,1,0,1,1,1,0,1,0,2,0
2018-11-28,PSV,Away,Group stage,Nélson Semedo,RB,90,0,0,0,0,0,1,1,0,1,1
2018-11-28,PSV,Away,Group stage,Marc-André ter Stegen,GK,90,0,0,0,0,0,0,0,0,0,0
